anio,mes,hoja,modelo,anio_auto,color,tipo,costo,rep,venta,comision,gastos,util_bruta_hoja,util_neta_calc,mes_compra,anio_compra,marcado_verde
2018,2,FEBRERO,CHEYENE,2014,BLANCO,,435000,6000,510000,10000,0,59000,49000,,2018,0
2018,2,FEBRERO,COLORADO,2008,BLANCO,,100000,0,130000,4000,0,26000,22000,,2018,0
2018,2,FEBRERO,CRV,2012,GRIS,,180000,1200,220000,6000,0,32800,26800,,2018,0
2018,2,FEBRERO,CX-3,2016,BLANCO,,250000,0,252500,0,0,2500,2500,,2018,0
2018,2,FEBRERO,JEEP,1994,VERDE,,75000,5000,87000,3500,0,3500,0,,2018,0
2018,2,FEBRERO,L-200,2015,BLANCO,,170000,0,200000,0,0,30000,30000,,2018,0
2018,2,FEBRERO,L-200,2015,BLANCO,,170000,0,200000,2500,0,27500,25000,,2018,0
2018,2,FEBRERO,L-200,2015,BLANCO,,170000,0,200000,2500,0,27500,25000,,2018,0
2018,2,FEBRERO,MARCH,2016,BLANCO,,115000,0,130000,0,0,15000,15000,,2018,0
2018,2,FEBRERO,MARCH,2016,AZUL,,115000,0,140000,0,0,25000,25000,,2018,0
2018,2,FEBRERO,VERSA,2016,PLATA,,123000,0,150000,0,0,27000,27000,,2018,0
2018,2,FEBRERO,VERSA,2016,PLATA,,123000,0,147000,2000,0,22000,20000,,2018,0
2018,3,MARZO,MARCH,2016,AZUL,,115000,0,140000,0,0,25000,25000,,2018,0
2018,4,ABRIL,FIESTA,2015,PLATA,,123800,600,160000,3500,0,32100,28600,,2018,0
2018,4,ABRIL,JOURNEY,2012,BLANCA,,160000,2000,186000,2500,0,21500,19000,,2018,0
2018,4,ABRIL,L-200,2008,NEGRO,,70000,15000,148000,6300,0,56700,50400,,2018,0
2018,4,ABRIL,MARCH,2016,PLATA,,115000,600,143000,3500,0,23900,20400,,2018,0
2018,5,MAYO,FIGO,2016,BLANCO,,133000,600,165000,3000,0,31400,28400,,2018,0
2018,5,MAYO,FOCUS,2012,BLANCO,,0,0,0,10000,0,10000,0,,2018,0
2018,5,MAYO,HILLUX,2011,NEGRO,,0,0,0,10000,0,10000,0,,2018,0
2018,5,MAYO,L-200,2015,BLANCO,,178000,0,215000,0,0,27000,27000,,2018,0
2018,5,MAYO,L-200,2015,BLANCO,,178000,0,215000,0,0,15000,15000,,2018,0
2018,5,MAYO,MARCH,2016,AZUL,,115000,2000,145000,2500,0,28000,25500,,2018,0
2018,5,MAYO,ODYSEY,2007,PLATA,,100000,2400,115000,0,0,12600,12600,,2018,0
2018,5,MAYO,SENTRA,2017,GRIS,,0,0,0,8000,0,15000,7000,,2018,0
2018,5,MAYO,SONIC,2012,ROJO,,75000,5000,98000,3000,0,18000,15000,,2018,0
2018,6,JUNIO,MAZDA 3,2017,GRIS,,225000,0,280000,4000,0,55000,51000,,2018,0
2018,6,JUNIO,RAM BIG HORN,2016,BLANCO,,395000,25000,460000,4000,0,40000,36000,,2018,0
2018,6,JUNIO,SIENNA,2013,BLANCA,,205000,6000,250000,4000,0,39000,35000,,2018,0
2018,6,JUNIO,TACOMA,2008,BLANCO,,0,0,0,0,0,5000,5000,,2018,0
2018,7,JULIO,F-150,2016,BLANCO,,295000,600,350000,4000,0,55000,51000,,2018,1
2018,7,JULIO,FIESTA,2015,AZUL,,123800,600,148000,2400,0,24200,21800,,2018,1
2018,7,JULIO,FIGO,2016,PLATA,,133000,600,160000,2700,0,27000,24300,,2018,1
2018,7,JULIO,FUSION,2013,PLATA,,160000,0,185000,2000,0,25000,23000,,2018,1
2018,7,JULIO,JEEP,2008,NEGRO,,180000,0,220000,0,0,228700,228700,,2018,0
2018,7,JULIO,MALIBU,2015,BLANCO,,180000,0,220000,3000,0,40000,37000,,2018,1
2018,7,JULIO,MALIBU,2004,DORADO,,35000,0,46500,2000,0,11500,9500,,2018,1
2018,7,JULIO,MARCH,2016,GRIS,,125000,0,143000,3000,0,18000,15000,,2018,1
2018,7,JULIO,NP-300,2009,BLANCO,,70000,27000,125000,2800,0,28000,25200,,2018,1
2018,8,AGOSTO,BEETLE,2012,BLANCO,,150000,0,160000,0,0,167817,167817,,2018,0
2018,8,AGOSTO,FLUENCE,2011,PLATA,,80000,5000,105000,1000,0,15000,14000,,2018,1
2018,8,AGOSTO,JETTA,2015,DORADO,,159783,2400,180000,2500,0,17817,15317,,2018,1
2018,8,AGOSTO,L 200,2015,BLANCO,,200000,0,225000,3000,0,25000,22000,,2018,1
2018,8,AGOSTO,RAV 4,2015,PLATA,,0,0,0,10000,0,20000,10000,,2018,1
2018,8,AGOSTO,SENTRA,2017,PLATA,,188000,0,210000,2200,0,0,-2200,,2018,1
2018,8,AGOSTO,SPARK,2016,GRIS,,120000,0,145000,2500,0,25000,22500,,2018,1
2018,8,AGOSTO,SPORTAGE,2018,BALANCO,,370000,0,430000,0,0,60000,60000,,2018,1
2018,8,AGOSTO,TSURU,2010,DORADO,,60000,0,65000,1000,0,5000,4000,,2018,1
2018,9,SEPTIEMBRE,FIGO,2016,ROJO,,133000,0,140000,2000,700,7000,4300,8,2018,1
2018,9,SEPTIEMBRE,SUBURBAN,2015,BLANCA,,600000,10000,650000,0,0,40000,40000,6,2018,1
2018,10,OCTUBRE,FIESTA,2016,NARANJA,,161000,0,180000,0,0,19000,19000,8,2018,1
2018,10,OCTUBRE,JOURNEY,2009,DORADA,,90000,5000,125000,0,0,30000,30000,10,2018,1
2018,10,OCTUBRE,ODYSEY,2007,PLATA,,105000,0,100000,0,0,10000,10000,3,2018,1
2018,11,NOVIEMBRE,F-150,2016,BLANCO,,330000,0,350000,0,0,20000,20000,,2018,1
2018,11,NOVIEMBRE,FIESTA,2016,BLANCO,,158000,600,185000,0,0,11400,11400,7,2018,1
2018,11,NOVIEMBRE,FIGO,2016,BLANCO,,124100,500,150000,0,0,25500,25500,11,2018,1
2018,11,NOVIEMBRE,FIGO,2016,BLANCO,,124100,500,150000,0,0,20000,20000,11,2018,1
2018,11,NOVIEMBRE,FIGO,2016,PLATA,,124100,500,150000,0,0,25500,25500,11,2018,1
2018,11,NOVIEMBRE,FOCUS,2016,AZUL,,205900,500,22000,0,0,14100,14100,8,2018,1
2018,11,NOVIEMBRE,NP-300,2016,BLANCO,,170000,0,210000,0,0,40000,40000,11,2018,1
2018,11,NOVIEMBRE,PT CRUISER,2004,PLATA,,30000,3500,55000,0,0,21500,21500,8,2018,1
2018,12,DICIEMBRE,JETTA,2014,BLANCO,,170000,0,200000,0,0,30000,30000,12,2018,1
2018,12,DICIEMBRE,SIERRA,2014,BLANCO,,425000,10000,450000,0,0,20000,20000,8,2018,1
2018,12,DICIEMBRE,TRAVERSE,2013,BLANCA,,250000,15000,280000,0,0,20000,20000,5,2018,1
2019,1,ENERO,CHEYENE,2004,BLANCO,,130000,2000,145000,0,0,15000,15000,1,2019,1
2019,1,ENERO,ESCAPE,2016,BLANCA,,319400,600,270000,0,0,50000,50000,12,2018,1
2019,1,ENERO,F-150,2008,BLANCO,,70000,0,90000,0,0,0,0,1,2019,1
2019,1,ENERO,FIGO,2016,PLATA,,124500,500,145000,2500,0,20000,17500,8,2018,1
2019,1,ENERO,FRONTIER,2016,NARANJA,,240000,2000,265000,1000,0,25000,24000,1,2019,1
2019,1,ENERO,RANGE ROVER,2008,GUINDA,,225000,8800,250000,0,0,16200,16200,11,2018,1
2019,1,ENERO,SPORTAGE,2017,BLANCA,,340000,0,356000,1000,0,16000,15000,6,2018,1
2019,1,ENERO,VENTO,2015,BLANCO,,115000,0,148000,0,0,142200,142200,1,2019,0
2019,2, FEB,300C,2006,PLATA,,60000,0,62000,1000,0,0,-1000,2,2019,1
2019,2, FEB,AVEO,2013,ROJO,,55000,0,70000,2500,0,15000,12500,1,2019,1
2019,2, FEB,ESCAPE,2008,GRIS,,70000,15000,100000,3000,0,15000,12000,12,2018,1
2019,2, FEB,FORTE,2019,GRIS,,195000,0,235000,3000,0,40000,37000,1,2019,1
2019,2, FEB,YARIS,2009,GUIDA,,50000,20000,85000,2500,0,15000,12500,12,2018,1
2019,3,MAR,CX5,2010,BLANCA,,85000,800,128000,6500,0,36500,30000,3,2019,1
2019,3,MAR,FIESTA,2016,BLANCO,,149500,0,165000,0,0,15000,15000,12,2018,1
2019,3,MAR,FIESTA,2016,BLANCO,,158500,0,165000,0,0,11500,11500,8,2018,1
2019,3,MAR,RAM,2009,PLATA,,165000,3500,168500,0,0,20000,20000,1,2019,1
2019,3,MAR,RANGE,2007,PLATA,,200000,0,225000,1000,0,25000,24000,1,2019,1
2019,3,MAR,RIO,2018,PLATA,,156000,0,177000,0,0,20476,20476,3,2019,1
2019,3,MAR,SORENTO,2018,ROJA,,335000,0,375000,5000,0,35000,30000,3,2019,1
2019,3,MAR,VENTO,2015,BLANCO,,115000,0,135000,0,0,33000,33000,1,2019,1
2019,4,ABR,JEEP,2008,NEGRO,,160000,0,260000,0,0,100000,100000,8,2018,1
2019,4,ABR,LOBO,2013,NEGRA,,285000,0,325000,5000,0,40000,35000,4,2019,1
2019,4,ABR,MALIBU,2014,PLATA,,165000,6000,179000,3000,0,14000,11000,11,2018,1
2019,4,ABR,SENTRA,2018,PLATA,,195000,10000,225000,0,0,20000,20000,4,2019,1
2019,4,ABR,SIENNA,2010,BLANA,,163000,0,168000,2000,0,3000,1000,4,2019,1
2019,4,ABR,SORENTO,2018,PLATA,,335000,0,370000,6000,0,35000,29000,3,2019,1
2019,4,ABR,SUBURBAN,2015,BLANCA,,500000,6500,555000,5000,0,55000,50000,4,2019,1
2019,5,MAY,CHEYENE,2016,BLANCO,,400000,0,445000,5000,0,45000,40000,5,2019,0
2019,5,MAY,CITY,2016,PLATA,,180000,0,194000,7000,0,7000,0,5,2019,0
2019,5,MAY,EQUINOX,2016,BLANCA,,225000,0,260000,0,0,35000,35000,4,2019,0
2019,5,MAY,FORTE,2019,GRIS,,245000,0,308000,0,12500,68000,55500,4,2019,0
2019,5,MAY,FORTE STD,2019,PLATA,,190000,12500,229000,3000,0,29000,26000,4,2019,0
2019,6,JUN,BEAT,2018,NARANJA,,105000,0,140000,3000,0,35000,32000,4,2019,0
2019,6,JUN,FIESTA,2016,BLANCO,,149500,0,169000,3000,0,19500,16500,12,2018,1
2019,6,JUN,RIO,2018,ROJO,,215000,1500,260000,4000,0,45000,41000,6,2019,0
2019,6,JUN,TRAX,2013,GRIS,,168500,10500,175000,0,0,1000,1000,2,2019,1
2019,7,JUL,EXPLORER,2016,BLANCA,,323000,0,389000,6000,0,66000,60000,12,2019,0
2019,7,JUL,FORTE,2019,GUINDA,,235000,0,278500,3000,0,43500,40500,7,2019,0
2019,7,JUL,FRONTIER,2018,GRIS,,280000,0,323500,3000,0,43500,40500,6,2019,0
2019,7,JUL,LOBO HARLEY,2008,NEGRO,,200000,5000,210000,4000,0,1000,-3000,2,2019,0
2019,7,JUL,MAZDA,2010,NEGRA,,115000,1200,143000,3000,0,28000,25000,7,2019,0
2019,7,JUL,MAZDA 6,2012,BLANCO,,110000,1000,128000,3000,0,18000,15000,4,2019,0
2019,7,JUL,SOUL,2018,PLATA,,200000,1500,243000,3000,0,43000,40000,6,2019,0
2019,8,AGOS,FORTE,2018,NEGRO,,170000,500,185000,6000,0,12500,6500,7,2019,0
2019,8,AGOS,L 200,2015,BLANCO,,142000,1300,188500,3000,0,46000,43000,4,2019,1
2019,8,AGOS,MAZDA 3,2017,BLANCO,,185000,6800,215000,7000,0,17491,10491,4,2019,1
2019,8,AGOS,RIO,2018,PLATA,,165000,1500,215000,0,0,20000,20000,6,2019,1
2019,8,AGOS,RIO,2019,BLANCO,,149000,500,221500,0,0,72000,72000,7,2019,1
2019,8,AGOS,ROUGE,2012,PLATA,,145000,2500,153000,2000,0,3500,1500,6,2019,1
2019,8,AGOS,SEDONA,2019,BLANCO,,440000,10000,480000,4000,0,40000,36000,7,2019,1
2019,8,AGOS,TRAX LTZ,2014,GRIS,,140000,0,169000,3000,0,26000,23000,7,2019,1
2019,9,SEPT,FOCUS,2003,AZUL,,25000,1200,30000,2000,0,5000,3000,7,2019,1
2019,9,SEPT,SPARK,2016,,,90000,0,105000,7500,0,15000,7500,9,2019,1
2019,9,SEPT,YUKON,2015,BLANCA,,420000,1600,514000,3000,0,94000,91000,6,2019,1
2019,10,OCT,HIGLANDER,2018,GRIS,,420000,0,500000,7000,0,80000,73000,9,2019,1
2019,10,OCT,RANGER,2019,PLATA,,350000,0,370000,10000,0,10000,0,9,2019,1
2019,10,OCT,RANGER,2019,PLATA,,350000,0,370000,10000,0,10000,0,9,2019,1
2019,10,OCT,RIO,2018,,,170000,0,198000,6000,0,28000,22000,9,2019,1
2019,10,OCT,SAHARA,2015,BLANCO,,420000,10000,480000,0,0,50000,50000,6,2019,1
2019,10,OCT,TUCSON,2018,,,320000,0,400000,3000,0,80000,77000,9,2019,1
2019,11,NOV,FORTE,2018,NEGRO,,165000,14000,209000,3000,0,50400,47400,9,2019,1
2019,11,NOV,FORTE,2018,PLATA,,200000,4800,240000,0,0,40000,40000,9,2019,1
2019,11,NOV,MINI COOPER,2008,BLANCO,,70000,1500,85000,3000,0,15000,12000,9,2019,1
2019,11,NOV,RIO,2018,PLATA,,150000,7600,201000,3000,0,51000,48000,11,2019,1
2019,11,NOV,SOUL,2018,BLANCO,,205000,500,220000,8000,6500,15000,500,6,2019,1
2019,12,DIC,CRV,2012,GRIS,,156000,0,186000,0,0,30000,30000,12,2019,1
2019,12,DIC,EQUINOX,2005,GRIS,,50000,5000,70000,7500,0,20000,12500,12,2019,1
2019,12,DIC,HRV,2019,ROJA,,315000,0,380000,10500,4000,65000,50500,12,2019,1
2019,12,DIC,RANGER,2015,BLANCO,,290000,0,323000,13000,0,33000,20000,9,2019,1
2019,12,DIC,SAVEIRO,2014,PLATA,,80000,5000,110000,0,0,30000,30000,11,2019,1
2019,12,DIC,VENTO,2019,PLATA,,155000,0,190000,3000,0,35000,32000,9,2019,1
2020,4,ABRIL 2020,AVEO,2015,GRIS,,95000,0,145000,18000,0,32000,14000,,2020,0
2020,4,ABRIL 2020,FIT,2019,AZUL,,165000,0,245000,33000,0,47000,14000,,2020,0
2020,4,ABRIL 2020,FORTE,2020,NEGRO,,240000,0,305000,3000,10000,52000,39000,,2020,0
2020,4,ABRIL 2020,RIO,2018,AZUL,,160000,0,200000,3000,0,28000,25000,,2020,0
2020,4,ABRIL 2020,RIO,2018,ROJO,,160000,0,200000,3000,8000,29000,18000,,2020,0
2020,4,ABRIL 2020,RIO,2020,ROJO,,175000,0,215000,3000,8000,29000,18000,,2020,0
2020,4,ABRIL 2020,SPORTAGE,2019,,,370000,0,380000,0,0,10000,10000,,2020,0
2020,5,MAYO 2020,SILVERADO,2015,PLATA,,285000,7000,360000,33000,5000,37000,-1000,,2020,0
2020,5,MAYO 2020,TACOMA,2012,BKLANCO,,250000,0,314000,15500,0,48500,33000,,2020,0
2020,6,JUNIO 2020,DAKOTA,2012,BLANCO,,90000,0,120000,3000,3000,30000,24000,,2020,0
2020,6,JUNIO 2020,FORTE,2019,BLANCO,,260000,0,335000,3000,10000,62000,49000,,2020,0
2020,6,JUNIO 2020,FORTE,2020,PLATA,,224000,0,268000,0,0,44000,44000,,2020,0
2020,6,JUNIO 2020,FRONTIER,2008,ROJO,,160000,0,185000,3000,3000,19000,13000,,2020,0
2020,6,JUNIO 2020,LOBO,2006,AZUL,,95000,0,95000,0,0,0,0,,2020,0
2020,6,JUNIO 2020,RIO,2018,BLANCO,,153000,0,205000,10000,5000,37000,22000,,2020,0
2020,6,JUNIO 2020,RIO,2019,BANCO,,203000,0,255000,7000,5000,40000,28000,,2020,0
2020,6,JUNIO 2020,SPORTAGE,2018,ROJO,,234000,0,300000,6000,10000,50000,34000,,2020,0
2020,7,JUL 2020,DUSTER,2013,PLATA,,69000,6100,100000,13000,0,24900,11900,,2020,0
2020,7,JUL 2020,F 150,2008,AZUL,,90000,0,107000,2000,0,17000,15000,,2020,0
2020,7,JULIO 2020,F-150,2008,AZUL,,90000,0,107000,2000,0,15000,13000,7,2020,0
2020,7,JUL 2020,MAZDA CX3,2019,BLANCA,,270000,400000,335000,7000,10000,48000,31000,,2020,0
2020,7,JUL 2020,RIO,2018,AZUL,,140000,0,180000,3000,0,40000,37000,,2020,0
2020,7,JUL 2020,RIO,2018,AZUL,,140000,0,200000,10000,10000,40000,20000,,2020,0
2020,7,JUL 2020,SPORTAGE,2019,BLANCO,,330000,0,410000,7000,10000,63000,46000,,2020,0
2020,7,JUL 2020,TUCSON,2020,NEGRA,,350999,4000,460000,10000,10000,89000,69000,,2020,0
2020,8,AGO,ELEMENT,2006,AZUL,,60000,5000,65000,1500,0,-1500,-3000,,2020,1
2020,8,AGO,LARIAT,2016,BLANCO,,388000,0,0,0,0,10000,10000,,2020,0
2020,8,AGO,NITRO,2008,BLANCO,,65000,1600,80000,7000,0,7000,0,,2020,1
2020,8,AGO,RAM,2017,,,383000,0,0,0,0,10000,10000,,2020,0
2020,8,AGO,SANDERO,2019,ROJA,,134000,2500,178000,0,0,41500,41500,,2020,1
2020,8,AGO,SOUL,2019,BLANCO,,230000,0,290000,7000,10000,43000,26000,,2020,1
2020,9,SEP 2020,AVEO,2020,PLATA,,125000,4300,170000,15000,0,15000,0,5,2020,1
2020,9,SEP 2020,IBIZA,2013,VERDE,,67000,0,80000,0,0,13000,13000,3,2020,1
2020,9,SEP 2020,MARCH,2020,BLANCO,,165000,0,197000,7000,10000,15000,-2000,5,2020,1
2020,9,SEP 2020,RIO SEDAN TM,2020,BLANCO,,160000,500,213800,7000,10000,34000,17000,9,2020,1
2020,9,SEP 2020,SONIC,2017,AZUL,,135000,0,150000,7500,0,15000,7500,4,2020,1
2020,9,SEP 2020,SWIFT,2020,ROJO,,140000,0,160000,6500,0,13500,7000,8,2020,1
2020,9,SEP 2020,TSURU,2016,BLANCO,,69000,500,82500,6000,0,12500,6500,9,2020,1
2020,10,OCT 2020,CAVALIER,2018,PLATA,,175000,0,190000,0,0,15000,15000,12,2020,1
2020,10,OCT 2020,CRV,2012,GRIS,,170000,1800,179000,2000,0,9000,7000,7,2020,1
2020,10,OCT 2020,ELANTRA,2016,ROJO,,160000,0,190000,10500,0,35000,24500,9,2020,1
2020,10,OCT 2020,MAZDA 3,2016,BLANCO,,220000,0,225000,3000,0,5000,2000,8,2020,1
2020,10,OCT 2020,RAM LARAMI,2011,BLANCO,,225000,150,255000,3000,0,25000,22000,9,2020,1
2020,10,OCT 2020,RAM LARAMI,2014,BLANCO,,340000,0,350000,0,0,10000,10000,10,2020,1
2020,10,OCT 2020,RIO LX TA SEDAN,2019,PLATA,,170000,500,230000,7000,10000,42500,25500,9,2020,1
2020,10,OCT 2020,SIERRA,2003,DORADO,,100000,5000,155000,0,0,55000,55000,8,2020,0
2020,10,OCT 2020,YARIS,2017,BLANCO,,142000,0,170000,0,0,28000,28000,7,2020,1
2020,11,NOV 2020,300,2006,BLANCO,,80000,0,180000,50000,0,75000,25000,11,2020,1
2020,11,NOV 2020,CRETA GLS PREMIUM L4,2020,BLANCA,,280000,1200,335000,10000,0,43800,33800,9,2020,1
2020,11,NOV 2020,DUSTER,2018,PLATA,,145000,0,185000,20000,0,23000,3000,6,2020,1
2020,11,NOV 2020,EDGE,2011,ROJA,,138500,1000,168000,3000,0,28500,25500,9,2020,1
2020,11,NOV 2020,F-150,2006,GRIS,,0,0,0,0,0,2500,2500,11,2020,1
2020,11,NOV 2020,HILLUX,2017,BLANCO,,245000,0,268000,11500,0,11500,0,9,2020,1
2020,11,NOV 2020,MARCH,2018,BLANCO,,106000,6600,120000,2000,0,3700,1700,7,2020,1
2020,11,NOV 2020,RANGER,2020,,,0,0,400000,0,0,30000,30000,11,2020,1
2020,11,NOV 2020,RIO LX SEDAN TA ROJO,2019,ROJO,,165000,1700,220000,7000,10000,38000,21000,9,2020,1
2020,11,NOV 2020,SORENTO EX,2019,BLANCA,,345000,500,450000,7000,15000,53000,31000,9,2020,1
2020,12,DIC 2020,CANAM,2015,,,90000,0,105000,0,0,15000,15000,,2020,1
2020,12,DIC 2020,FORTE PE 2.0L SX A/T SEDAN,2017,BLANCO,,185000,1900,240000,7000,10000,35000,18000,9,2020,1
2020,12,DIC 2020,JOURNEY,2018,,,295000,0,315000,3000,0,17000,14000,12,2020,1
2020,12,DIC 2020,ROUGE,2014,BLANCO,,165000,2000,185000,3000,0,20000,17000,12,2020,1
2020,12,DIC 2020,SENTRA,2017,BLANCO,,160000,0,200000,3000,0,40000,37000,11,2020,1
2020,12,DIC 2020,SOUL 1.6L LX TA,2020,PLATA,,215000,500,290000,7000,10000,34000,17000,9,2020,1
2020,12,DIC 2020,SPORTAGE,2019,PLATA,,348000,1500,420000,7000,10000,33500,16500,8,2020,1
2020,12,DIC 2020,SPORTAGE TITO,2019,BLANCA,,0,0,0,0,0,100000,100000,12,2020,1
2021,1,ene 21,COMPAS,2013,NEGRA,,120000,0,130000,0,0,4000,4000,1,2021,1
2021,1,ene 21,COROLA,2014,BLANCO,,130000,0,140000,6000,0,10000,4000,1,2021,1
2021,1,ene 21,FIGO HB,2018,BLANCO,,120000,500,150000,7000,10000,0,-17000,9,2020,1
2021,1,ene 21,FORTE 2020,2020,ROJO,,185000,3000,260000,7000,10000,55000,38000,9,2020,1
2021,1,ene 21,MERCEDEZ,2015,PLATA,,315000,0,330000,12000,0,23000,11000,12,2020,1
2021,1,ene 21,RIO SEDAN LX 1.6L TM SEDAN NEGRO,2020,NEGRO,,170000,500,195000,7000,10000,7000,-10000,9,2020,1
2021,1,ene 21,SORENTO,2019,BLANCA,,380000,0,410000,0,0,30000,30000,1,2021,1
2021,1,ene 21,SPORTAGE,2016,BLANCA,,250000,0,285000,0,0,0,0,1,2021,1
2021,2,feb,300,2006,BLANCO,,165000,0,0,0,0,35000,35000,2,2021,1
2021,2,feb,CHEROKEE,2017,BL;ANCA,,347000,0,430000,30000,0,55000,25000,2,2021,1
2021,2,feb,CROS FOXX,2016,PLATA,,130000,0,150000,0,0,20000,20000,2,2021,1
2021,2,feb,ODYSEY,2014,GRIS,,220000,0,245000,7000,0,19000,12000,2,2021,1
2021,2,feb,SILVERADO,2009,DORADO,,130000,1800,160000,3000,0,27000,24000,2,2021,1
2021,2,feb,VENTO,2019,DORADO,,137000,0,155000,0,0,9000,9000,2,2021,1
2021,3,MAR 21,AVEO LS TM,2018,AZUL,,105000,500,139800,7000,10000,8000,-9000,9,2020,1
2021,3,MAR 21,DAKOTA,2006,ROJA,,0,0,0,6500,0,6500,0,,2021,1
2021,3,MAR 21,FORTE,2018,BLANCO,,178800,0,0,0,0,16500,16500,3,2021,1
2021,3,MAR 21,L-200,2017,BLANCA,,260000,0,295000,0,0,17500,17500,3,2021,1
2021,3,MAR 21,LOBO,2013,ROJA,,162000,8000,0,3000,0,70000,67000,,2021,1
2021,3,MAR 21,PARTNER,2017,BLANCA,,160000,0,175000,6000,0,6000,0,3,2021,1
2021,3,MAR 21,RAM 700,2016,BLANCA,,129000,0,137000,4000,0,4000,0,3,2021,1
2021,3,MAR 21,RENEGADE,2018,BLANCA,,232000,0,278000,0,0,18400,18400,3,2021,1
2021,3,MAR 21,RIO,2019,PLATA,,160000,500,187000,10000,7000,7000,-10000,8,2020,1
2021,3,MAR 21,RIO SEDAN LX TM,2018,AZUL,,140000,3000,175000,7000,10000,15100,-1900,9,2020,1
2021,3,MAR 21,XTRAIL,2019,GRIS,,258200,0,335000,47000,0,30000,-17000,3,2021,1
2021,3,MAR 21,YARIS,2017,PLATA,,170000,0,180000,0,0,10000,10000,2,2021,1
2021,4,abril 21,ATTITUD,2017,BLANCO,,78000,17400,105000,2500,0,7100,4600,11,2020,1
2021,4,abril 21,CAVALIER,2020,BLANCO,,70000,0,120000,0,11000,39000,28000,3,2021,1
2021,4,abril 21,CIVIC,2013,BLANCO,,132000,0,148000,2000,0,14000,12000,3,2021,1
2021,4,abril 21,CIVIC,2006,BLANCO,,52500,0,67000,2000,0,6500,4500,3,2021,1
2021,4,abril 21,L200,2015,BLANCO,,150000,0,170000,2000,0,9500,7500,3,2021,1
2021,4,abril 21,STEPWAY,2013,GRIS,,41900,0,73000,4500,0,26600,22100,3,2021,1
2021,4,abril 21,VERSA,2019,ROJO,,163200,0,1200,0,0,15000,15000,3,2021,1
2021,5,may 21,CHEROKEE,2017,BLANCA,,450000,0,0,0,0,6000,6000,4,2021,1
